Date,Open,High,Low,Close,Adj Close,Volume
2020-12-15,367.399994,369.589996,365.920013,369.589996,368.021240,64071100
2020-12-16,369.820007,371.160004,368.869995,370.170013,368.598816,58420500
2020-12-17,371.940002,372.459991,371.049988,372.239990,370.660004,64119500
2020-12-18,370.970001,371.149994,367.019989,369.179993,369.179993,136542300
2020-12-21,364.970001,378.459991,362.029999,367.859985,367.859985,96386700
2020-12-22,368.209991,368.329987,366.029999,367.239990,367.239990,47949000
2020-12-23,368.279999,369.619995,367.220001,367.570007,367.570007,46201400
2020-12-24,368.079987,369.029999,367.450012,369.000000,369.000000,26457900
2020-12-28,371.739990,372.589996,371.070007,372.170013,372.170013,39000400
2020-12-29,373.809998,374.000000,370.829987,371.459991,371.459991,53680500
2020-12-30,372.339996,373.100006,371.570007,371.989990,371.989990,49455300
2020-12-31,371.779999,374.660004,371.230011,373.880005,373.880005,78469000
2021-01-04,375.309998,375.450012,364.820007,368.790009,368.790009,110210800
2021-01-05,368.100006,372.500000,368.049988,371.329987,371.329987,66426200
2021-01-06,369.709991,376.980011,369.119995,373.549988,373.549988,107997700
2021-01-07,376.100006,379.899994,375.910004,379.100006,379.100006,68766800
2021-01-08,380.589996,381.489990,377.100006,381.260010,381.260010,71677200
2021-01-11,377.850006,380.579987,377.720001,378.690002,378.690002,51176700
2021-01-12,378.890015,379.859985,376.359985,378.769989,378.769989,52547700
2021-01-13,378.690002,380.859985,377.850006,379.790009,379.790009,45303600
2021-01-14,380.589996,381.130005,378.100006,378.459991,378.459991,49989100
